epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,244.11,2.85297,0.65723,0.88396,1.28726,0.00333263,0.00333263,0.00333263
2,462.647,1.9762,0.68689,0.89913,1.17349,0.00659997,0.00659997,0.00659997
3,670.438,2.18944,0.6484,0.88087,1.32119,0.00980131,0.00980131,0.00980131
4,875.513,2.33252,0.68032,0.89632,1.20039,0.009703,0.009703,0.009703
5,1080.03,2.13827,0.7103,0.90982,1.07553,0.009604,0.009604,0.009604
6,1284.4,1.98925,0.73675,0.92341,0.9762,0.009505,0.009505,0.009505
7,1488.44,1.8944,0.7495,0.92998,0.91782,0.009406,0.009406,0.009406
8,1693.99,1.7974,0.76222,0.93691,0.87428,0.009307,0.009307,0.009307
9,1897.39,1.74527,0.7684,0.93881,0.84591,0.009208,0.009208,0.009208
10,2102.17,1.68449,0.77497,0.94103,0.82521,0.009109,0.009109,0.009109
11,2305,1.64843,0.77735,0.9421,0.81247,0.00901,0.00901,0.00901
12,2509.12,1.60468,0.77873,0.94349,0.80244,0.008911,0.008911,0.008911
13,2713.12,1.57194,0.78103,0.94459,0.79315,0.008812,0.008812,0.008812
14,2917.4,1.54689,0.78257,0.94495,0.78556,0.008713,0.008713,0.008713
15,3119.45,1.51886,0.78539,0.94614,0.77999,0.008614,0.008614,0.008614
16,3327.14,1.50005,0.78705,0.94657,0.77771,0.008515,0.008515,0.008515
17,3532.24,1.47484,0.78804,0.94697,0.76874,0.008416,0.008416,0.008416
18,3738.53,1.4498,0.78947,0.9478,0.76449,0.008317,0.008317,0.008317
19,3944.81,1.44536,0.79046,0.94879,0.75723,0.008218,0.008218,0.008218
20,4152.32,1.43124,0.7918,0.94923,0.75163,0.008119,0.008119,0.008119
21,4358.22,1.41457,0.79299,0.94978,0.74735,0.00802,0.00802,0.00802
22,4565.01,1.40193,0.79422,0.94998,0.74246,0.007921,0.007921,0.007921
23,4772.93,1.3865,0.79513,0.95069,0.73835,0.007822,0.007822,0.007822
24,4980.83,1.37293,0.79699,0.95089,0.73189,0.007723,0.007723,0.007723
25,5187.55,1.36481,0.79838,0.95105,0.72795,0.007624,0.007624,0.007624
26,5395.99,1.34797,0.79877,0.95137,0.72602,0.007525,0.007525,0.007525
27,5602.46,1.33606,0.79952,0.95176,0.72044,0.007426,0.007426,0.007426
28,5811.47,1.31808,0.79988,0.95244,0.71756,0.007327,0.007327,0.007327
29,6017.55,1.31483,0.80115,0.95303,0.7145,0.007228,0.007228,0.007228
30,6224.01,1.29906,0.80265,0.95335,0.70847,0.007129,0.007129,0.007129
31,6429.85,1.29285,0.80408,0.95378,0.70432,0.00703,0.00703,0.00703
32,6636.09,1.28131,0.8044,0.95414,0.70031,0.006931,0.006931,0.006931
33,6841.92,1.27199,0.80531,0.95446,0.69706,0.006832,0.006832,0.006832
34,7049.13,1.25171,0.80653,0.95473,0.69241,0.006733,0.006733,0.006733
35,7252.83,1.25102,0.80784,0.95537,0.68989,0.006634,0.006634,0.006634
36,7459.54,1.24108,0.80887,0.95588,0.68576,0.006535,0.006535,0.006535
37,7665.69,1.22415,0.81121,0.95588,0.68117,0.006436,0.006436,0.006436
38,7870.79,1.22277,0.81263,0.9562,0.67753,0.006337,0.006337,0.006337
39,8076.79,1.20694,0.81327,0.95711,0.674,0.006238,0.006238,0.006238
40,8284.38,1.19673,0.81418,0.95707,0.67097,0.006139,0.006139,0.006139
41,8489.83,1.18325,0.81513,0.95735,0.66787,0.00604,0.00604,0.00604
42,8696.4,1.17558,0.81584,0.95762,0.66437,0.005941,0.005941,0.005941
43,8902.09,1.16363,0.81612,0.9575,0.66527,0.005842,0.005842,0.005842
44,9109.13,1.15408,0.81655,0.9583,0.65784,0.005743,0.005743,0.005743
45,9315.54,1.1413,0.81754,0.95842,0.65486,0.005644,0.005644,0.005644
46,9522.23,1.14063,0.81937,0.95889,0.65286,0.005545,0.005545,0.005545
47,9729.31,1.12158,0.8202,0.95877,0.64986,0.005446,0.005446,0.005446
48,9935.9,1.10929,0.82099,0.95885,0.64787,0.005347,0.005347,0.005347
49,10139.2,1.09919,0.8217,0.95857,0.64597,0.005248,0.005248,0.005248
50,10343.3,1.08888,0.82186,0.95905,0.64414,0.005149,0.005149,0.005149
51,10549,1.07718,0.82305,0.95929,0.64346,0.00505,0.00505,0.00505
52,10754.8,1.06319,0.82396,0.95956,0.63885,0.004951,0.004951,0.004951
53,10958.9,1.05512,0.82523,0.95992,0.64014,0.004852,0.004852,0.004852
54,11164,1.04417,0.82634,0.96032,0.63396,0.004753,0.004753,0.004753
55,11371.2,1.03488,0.82713,0.95996,0.63491,0.004654,0.004654,0.004654
56,11576.3,1.0258,0.82792,0.9602,0.63153,0.004555,0.004555,0.004555
57,11780.6,1.01511,0.82867,0.9604,0.62935,0.004456,0.004456,0.004456
58,11987.3,1.00429,0.82796,0.96016,0.62837,0.004357,0.004357,0.004357
59,12192.5,0.98577,0.82855,0.96008,0.6266,0.004258,0.004258,0.004258
60,12396,0.97396,0.82923,0.96071,0.6253,0.004159,0.004159,0.004159
61,12601,0.964,0.82915,0.96079,0.62389,0.00406,0.00406,0.00406
62,12805.4,0.95369,0.82958,0.96107,0.62267,0.003961,0.003961,0.003961
63,13010.2,0.93923,0.83026,0.96099,0.62103,0.003862,0.003862,0.003862
64,13214.8,0.93279,0.83002,0.96107,0.61988,0.003763,0.003763,0.003763
65,13419,0.91625,0.8305,0.96127,0.61833,0.003664,0.003664,0.003664
66,13625.4,0.9026,0.83113,0.96111,0.6166,0.003565,0.003565,0.003565
67,13830.7,0.89071,0.8318,0.96131,0.61596,0.003466,0.003466,0.003466
68,14035.2,0.87845,0.83133,0.96123,0.61831,0.003367,0.003367,0.003367
